Name,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount
TND,347.37700000000007,4.930900000000002,58.64,1,3,0,6
TND-1,407.42900000000026,4.948100000000003,77.1,1,5,2,6
TND-2,391.43000000000006,4.731620000000004,78.87,2,4,1,6
TND-3,391.43000000000006,5.247920000000003,67.87,1,4,1,6
TND-4,407.42900000000014,4.948100000000003,77.1,1,5,2,6
TND-5,391.43000000000006,4.731620000000004,78.87,2,4,1,6
TND-6,405.45700000000016,4.742020000000004,68.01,1,5,1,6
TND-7,391.4300000000001,4.731620000000002,78.87,2,4,1,6
TND-8,453.5010000000001,7.031620000000003,67.87,1,4,2,7
TND-9,419.48400000000015,5.892000000000004,67.87,1,4,3,6
TND-10,421.4560000000001,5.338200000000003,77.1,1,5,3,6
TND-11,362.3920000000001,4.118100000000002,73.8,1,5,0,6
TND-12,363.4000000000001,3.537200000000001,75.65,2,3,0,6
TND-13,363.3760000000001,4.641600000000002,68.00999999999999,1,5,0,6
TND-14,365.3670000000001,5.136900000000003,47.78,0,4,0,6
TND-15,377.4030000000001,4.4627000000000026,57.010000000000005,0,5,1,6
